"Colour Master — every fabric/item colourway sourced directly from Decora spec files and product datasets (not from the trade book price grids, which only give collection/band, not individual colours). See Notes / Improvements for categories not yet covered.",,,,,
Product Category,Collection,Colour Name,Colour Code,Band,Source File
Contract Vertical,UniColour,Cyan,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniColour,Dove,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniColour,Escape,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniColour,Flint,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniColour,Glade,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniColour,Kara,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniColour,Kiwi,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniColour,Lapis,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniColour,Luna,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniColour,Morello,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniColour,Mulberry,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniColour,Naro,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniColour,Navy,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniColour,Rayon,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniColour,Red,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniColour,Shell,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniColour,Taupe,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniColour,White,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Ash,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Atmosphere,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Batik,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Beige,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Black,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Charcoal,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Chocolate,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Cream,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Cyan,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Dove,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Escape,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Flint,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Glade,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Kara,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Kiwi,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Lapis,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Luna,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Morello,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Mulberry,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Naro,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Navy,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Rayon,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Red,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Shell,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,Taupe,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,UniShade,White,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Uniline,Ash,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
Contract Vertical,Uniline,Noir,,B/C,Datasets/127mmCruzeVertical.csv (CZ127)
FB Romans,Artisan,Dove,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Artisan,Fawn,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Artisan,Ocean,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Artisan,Sage,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Arturo,Dove,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Arturo,Ink,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Arturo,Porcelain,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Arturo,Trufle,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Belle,Peony,,B,PDF: SPEC46 Roman & Curtain
FB Romans,Boheme,Balance,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Boheme,Eden,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Boheme,Surf,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Calista,Breeze,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Calista,Citrus,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Calista,Lust,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Calista,Mineral,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Cami,Rose,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Cami,Sand,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Canvas,Moss,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Canvas,Pacific,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Canvas,Sahara,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Capella,Rose,,B,PDF: SPEC46 Roman & Curtain
FB Romans,Catkin,Duck Egg,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Catkin,Mineral,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Catkin,Mist,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Catkin,Praline,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Catkin,Shine,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Celina,Berry,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Celina,Blush,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Celina,Willow,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Cielo,Amethyst,,B,PDF: SPEC46 Roman & Curtain
FB Romans,Cielo,Indigo,,B,PDF: SPEC46 Roman & Curtain
FB Romans,Cielo,Slate,,B,PDF: SPEC46 Roman & Curtain
FB Romans,Dakar,Pebble,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Dakar,Sandstone,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Flores,Biscuit,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Flores,Mineral,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Flores,Mist,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Flores,Shadow,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Folina,Amethyst,,B,PDF: SPEC46 Roman & Curtain
FB Romans,Folina,Slate,,B,PDF: SPEC46 Roman & Curtain
FB Romans,Haven,Amber,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Haven,Apple,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Haven,Ebony,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Haven,Ice,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Haven,Indigo,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Haven,Lipstick,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Haven,Oyster,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Haven,Platinum,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Haven,Powder,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Haven,Saffron,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Haven,Scarlet,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Haven,Seafoam,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Haven,Sky,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Haven,Slate,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Haven,Thistle,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Haven,Toffee,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Haven,Vanilla,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Jareh+,Oyster,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Kairo,Moon,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Kairo,Peony,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Kairo,Pistachio,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Kairo,Putty,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Kairo,Thistle,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Keates,Moon,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Lemon Grove,Dawn,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lora,Adore,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lora,Biscuit,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lora,Carbon,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lora,Duck Egg,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lora,Ivory,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lora,Lilac,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lora,Linen,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lora,Mist,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lora,Pearl,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lora,Shine,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lora,Sky,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lora,Steel,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Lorcan,Dusk,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Lorcan,Mist,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Lorcan,Oyster,,C,PDF: SPEC46 Roman & Curtain
